Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
520.569727407,0,0,0,0,1,1,1,1
520.569796500,0,0,0,0,0,1,1,1
520.569802542,0,0,0,0,1,1,1,1
520.569824667,0,0,0,0,0,1,1,1
520.569853875,0,1,0,0,0,1,1,1
520.569955500,0,0,0,0,0,1,1,1
520.569993750,0,0,1,0,0,1,1,1
520.571279917,0,0,0,0,0,1,1,1
520.571284958,0,0,0,1,0,1,1,1
520.571407750,0,0,0,0,0,1,1,1
520.571413750,0,0,0,0,1,1,1,1
520.571509375,0,0,0,0,0,1,1,1
520.571515417,0,0,0,0,1,1,1,1
520.571537542,0,0,0,0,0,1,1,1
520.571566750,0,1,0,0,0,1,1,1
520.571668375,0,0,0,0,0,1,1,1
520.571706625,0,0,1,0,0,1,1,1
520.572992833,0,0,0,0,0,1,1,1
520.572997875,0,0,0,1,0,1,1,1
520.573153875,0,0,0,0,0,1,1,1
520.573159917,0,0,0,0,1,1,1,1
520.573255542,0,0,0,0,0,1,1,1
520.573261583,0,0,0,0,1,1,1,1
520.573283708,0,0,0,0,0,1,1,1
520.573312875,0,1,0,0,0,1,1,1
520.573414542,0,0,0,0,0,1,1,1
520.573452792,0,0,1,0,0,1,1,1
520.574738958,0,0,0,0,0,1,1,1
520.574744000,0,0,0,1,0,1,1,1
520.574902000,0,0,0,0,0,1,1,1
520.574908042,0,0,0,0,1,1,1,1
520.575003625,0,0,0,0,0,1,1,1
520.575009667,0,0,0,0,1,1,1,1
520.575031833,0,0,0,0,0,1,1,1
520.575061000,0,1,0,0,0,1,1,1
520.575162667,0,0,0,0,0,1,1,1
520.575200875,0,0,1,0,0,1,1,1
520.576487125,0,0,0,0,0,1,1,1
520.576492167,0,0,0,1,0,1,1,1
520.576648167,0,0,0,0,0,1,1,1
520.576654208,0,0,0,0,1,1,1,1
520.576749792,0,0,0,0,0,1,1,1
520.576755833,0,0,0,0,1,1,1,1
520.576778000,0,0,0,0,0,1,1,1
520.576807167,0,1,0,0,0,1,1,1
520.576908833,0,0,0,0,0,1,1,1
520.576947083,0,0,1,0,0,1,1,1
520.578233250,0,0,0,0,0,1,1,1
520.578238292,0,0,0,1,0,1,1,1
520.578396292,0,0,0,0,0,1,1,1
520.578402333,0,0,0,0,1,1,1,1
520.578497958,0,0,0,0,0,1,1,1
520.578503958,0,0,0,0,1,1,1,1
520.578526125,0,0,0,0,0,1,1,1
520.578555292,0,1,0,0,0,1,1,1
520.578656958,0,0,0,0,0,1,1,1
520.578695208,0,0,1,0,0,1,1,1
520.579981375,0,0,0,0,0,1,1,1
520.579986417,0,0,0,1,0,1,1,1
520.580142375,0,0,0,0,0,1,1,1
520.580148417,0,0,0,0,1,1,1,1
520.580244042,0,0,0,0,0,1,1,1
520.580250083,0,0,0,0,1,1,1,1
520.580272208,0,0,0,0,0,1,1,1
520.580301417,0,1,0,0,0,1,1,1
520.580403042,0,0,0,0,0,1,1,1
520.580441292,0,0,1,0,0,1,1,1
520.581727542,0,0,0,0,0,1,1,1
520.581732583,0,0,0,1,0,1,1,1
520.581890583,0,0,0,0,0,1,1,1
520.581896625,0,0,0,0,1,1,1,1
520.581992250,0,0,0,0,0,1,1,1
520.581998292,0,0,0,0,1,1,1,1
520.582020417,0,0,0,0,0,1,1,1
520.582049625,0,1,0,0,0,1,1,1
520.582151250,0,0,0,0,0,1,1,1
520.582189500,0,0,1,0,0,1,1,1
520.583475667,0,0,0,0,0,1,1,1
520.583480708,0,0,0,1,0,1,1,1
520.583636708,0,0,0,0,0,1,1,1
520.583642750,0,0,0,0,1,1,1,1
520.583738333,0,0,0,0,0,1,1,1
520.583744375,0,0,0,0,1,1,1,1
520.583766500,0,0,0,0,0,1,1,1
520.583795708,0,1,0,0,0,1,1,1
520.583897333,0,0,0,0,0,1,1,1
520.583935583,0,0,1,0,0,1,1,1
520.585221708,0,0,0,0,0,1,1,1
520.585226750,0,0,0,1,0,1,1,1
520.585384750,0,0,0,0,0,1,1,1
520.585390792,0,0,0,0,1,1,1,1
520.585486417,0,0,0,0,0,1,1,1
520.585492417,0,0,0,0,1,1,1,1
520.585514583,0,0,0,0,0,1,1,1
520.585543750,0,1,0,0,0,1,1,1
520.585645417,0,0,0,0,0,1,1,1
520.585683625,0,0,1,0,0,1,1,1
520.586969792,0,0,0,0,0,1,1,1
520.586974833,0,0,0,1,0,1,1,1
520.587130792,0,0,0,0,0,1,1,1
520.587136833,0,0,0,0,1,1,1,1
520.587232458,0,0,0,0,0,1,1,1
520.587238500,0,0,0,0,1,1,1,1
520.587260625,0,0,0,0,0,1,1,1
520.587289833,0,1,0,0,0,1,1,1
520.587391458,0,0,0,0,0,1,1,1
520.587429708,0,0,1,0,0,1,1,1
520.588715917,0,0,0,0,0,1,1,1
520.588720917,0,0,0,1,0,1,1,1
520.588878958,0,0,0,0,0,1,1,1
520.588885000,0,0,0,0,1,1,1,1
520.588980583,0,0,0,0,0,1,1,1
520.588986625,0,0,0,0,1,1,1,1
520.589008750,0,0,0,0,0,1,1,1
520.589037958,0,1,0,0,0,1,1,1
520.589139583,0,0,0,0,0,1,1,1
520.589177833,0,0,1,0,0,1,1,1
520.590464042,0,0,0,0,0,1,1,1
520.590469083,0,0,0,1,0,1,1,1
520.590625042,0,0,0,0,0,1,1,1
520.590631083,0,0,0,0,1,1,1,1
520.590726708,0,0,0,0,0,1,1,1
520.590732750,0,0,0,0,1,1,1,1
520.590754875,0,0,0,0,0,1,1,1
520.590784042,0,1,0,0,0,1,1,1
520.590885708,0,0,0,0,0,1,1,1
520.590923958,0,0,1,0,0,1,1,1
520.592210125,0,0,0,0,0,1,1,1
520.592215167,0,0,0,1,0,1,1,1
520.592373167,0,0,0,0,0,1,1,1
520.592379167,0,0,0,0,1,1,1,1
520.592474792,0,0,0,0,0,1,1,1
520.592480833,0,0,0,0,1,1,1,1
520.592502958,0,0,0,0,0,1,1,1
520.592532167,0,1,0,0,0,1,1,1
520.592633792,0,0,0,0,0,1,1,1
520.592672042,0,0,1,0,0,1,1,1
520.593958167,0,0,0,0,0,1,1,1
520.593963208,0,0,0,1,0,1,1,1
520.594119208,0,0,0,0,0,1,1,1
520.594125250,0,0,0,0,1,1,1,1
520.594220833,0,0,0,0,0,1,1,1
520.594226875,0,0,0,0,1,1,1,1
520.594249042,0,0,0,0,0,1,1,1
520.594278208,0,1,0,0,0,1,1,1
520.594379833,0,0,0,0,0,1,1,1
520.594418083,0,0,1,0,0,1,1,1
520.595704208,0,0,0,0,0,1,1,1
520.595709250,0,0,0,1,0,1,1,1
520.595867250,0,0,0,0,0,1,1,1
520.595873250,0,0,0,0,1,1,1,1
520.595968875,0,0,0,0,0,1,1,1
520.595974917,0,0,0,0,1,1,1,1
520.595997042,0,0,0,0,0,1,1,1
520.596026208,0,1,0,0,0,1,1,1
520.596127875,0,0,0,0,0,1,1,1
520.596166083,0,0,1,0,0,1,1,1
